event_name,project,volume_30d,in_lexicon,verified,hidden,dropped,tags,description
Liveness Capture Completed,Vana (3370988),243,True,False,False,False,,
Backend Risk Segment Downgraded,Vana (3370988),242,True,False,False,False,,
Backend Risk Segment Upgraded,Vana (3370988),239,True,False,False,False,,
Identity Verification Started,Vana (3370988),239,True,False,False,False,,
Identity Verification Module Started,Vana (3370988),233,True,False,False,False,,
Card Activation Submitted,Vana (3370988),217,True,False,False,False,,
Backend Payment Intent Rejected,Vana (3370988),214,True,False,False,False,,
Card Activation Completed,Vana (3370988),212,True,False,False,False,,
Delivery Completed,Vana (3370988),205,True,False,False,False,,
Identity Verification Flow Ready,Vana (3370988),202,True,False,False,False,,
Backend Payment Session Express Onboarding Rejected,Vana (3370988),201,True,False,False,False,,
Contract Terms Clicked,Vana (3370988),196,True,False,False,False,,
Order Link Share Clicked,Vana (3370988),176,True,False,False,False,,
Refund Benefit Explained,Vana (3370988),176,True,False,False,False,,
Training Completed,Vana (3370988),173,True,False,False,False,,
Incentive Information Link Clicked,Vana (3370988),171,True,False,False,False,,
Incode Flow Aborted,Vana (3370988),160,True,False,False,False,,
Payment Session Rejected,Vana (3370988),146,True,False,False,False,,
Identity Verification Capture Error,Vana (3370988),141,False,False,False,False,,
Card Details Closed,Vana (3370988),138,True,False,False,False,,
Viewed Instant Transfer Instructions,Vana (3370988),138,True,False,False,False,,
Viewed VRM Wallet Information,Vana (3370988),135,True,False,False,False,,
Payment Amount Confirmed,Vana (3370988),128,True,False,False,False,,
Card Lock Requested,Vana (3370988),127,True,False,False,False,,
Backend Manual Installments Modified,Vana (3370988),113,True,False,False,False,,
View Terms Button Pressed,Vana (3370988),111,True,False,False,False,,
Push Failed,Vana (3370988),110,True,False,False,False,,
Document Rejected,Vana (3370988),107,True,False,False,False,,
Delivery Rescheduled,Vana (3370988),100,True,False,False,False,,
View Privacy Policy Button Pressed,Vana (3370988),90,True,False,False,False,,
Card Unlock Requested,Vana (3370988),86,True,False,False,False,,
Bank Info Error,Vana (3370988),73,True,False,False,False,,
Delivery Failed,Vana (3370988),73,True,False,False,False,,
Liveness Fallback Continued,Vana (3370988),62,True,False,False,False,,
Delete My Account Box Unchecked,Vana (3370988),61,True,False,False,False,,
View Service Receipt Number Button Pressed,Vana (3370988),60,True,False,False,False,,
Liveness Fallback Resolved,Vana (3370988),56,True,False,False,False,,
Viewed Credit Pre-approval Rejected,Vana (3370988),56,True,False,False,False,,
Review Section Expanded,Vana (3370988),55,True,False,False,False,,
Delivery Reassigned,Vana (3370988),51,True,False,False,False,,
Backend Loan Reversed,Vana (3370988),48,True,False,False,False,,
Viewed Pay with Vana Cash Details,Vana (3370988),48,True,False,False,False,,
Payment Intent Created,Vana (3370988),46,True,False,False,False,,
Send Bank Ticket Clicked,Vana (3370988),45,True,False,False,False,,
Email Spammed,Vana (3370988),44,True,False,False,False,,
Personal Info Error,Vana (3370988),44,True,False,False,False,,
Credit Card Changed Failed,Vana (3370988),42,True,False,False,False,,
Retry Liveness Verification Button Pressed,Vana (3370988),42,True,False,False,False,,
Viewed Viewed Wallet Store,Vana (3370988),42,True,False,False,False,,
Identity Verification Module Completed,Vana (3370988),41,False,False,False,False,,
Resend Email Address Verification Button Pressed,Vana (3370988),41,True,False,False,False,,
Close Card Application Button Pressed,Vana (3370988),35,True,False,False,False,,
Incode Module Failed,Vana (3370988),29,True,False,False,False,,
Backend Vana Pay User Updated,Vana (3370988),26,True,False,False,False,,
Viewed Banking Info,Vana (3370988),26,True,False,False,False,,
Liveness Fallback Triggered,Vana (3370988),25,True,False,False,False,,
Document Capture Failed,Vana (3370988),23,False,False,False,False,,
Logout Failed,Vana (3370988),23,True,False,False,False,,
Delivery Escalated,Vana (3370988),21,True,False,False,False,,
Viewed ID Verification Cooldown,Vana (3370988),20,True,False,False,False,,
Payment calculator failed,Vana (3370988),19,True,False,False,False,,
Reference Contact Removed,Vana (3370988),19,True,False,False,False,,
Card Application Closed,Vana (3370988),16,True,False,False,False,,
Card Application Confirmation Error,Vana (3370988),16,True,False,False,False,,
Email Update Attempt,Vana (3370988),15,True,False,False,False,,
Identity Verification Failed,Vana (3370988),14,True,False,False,False,,
Viewed Onboarding 2,Vana (3370988),14,True,False,False,False,,
Viewed Viewed Wallet Onborading,Vana (3370988),14,True,False,False,False,,
Biometric Unlock Succeeded,Vana (3370988),13,True,False,False,False,,
$mp_session_record,Vana Pay (3449788),12,True,False,False,False,,
$mp_web_page_view,Vana Pay (3449788),12,True,False,False,False,,
Identity Verification Aborted,Vana (3370988),12,True,False,False,False,,
Edit Mode Entered,Vana (3370988),11,True,False,False,False,,
Viewed Instant Transfer Information,Vana (3370988),11,True,False,False,False,,
Contract Signature Failed,Vana (3370988),9,True,False,False,False,,
Edit Card Application Button Pressed,Vana (3370988),9,True,False,False,False,,
Review Edit Clicked,Vana (3370988),9,True,False,False,False,,
Viewed Wallet Purchase Confirmation,Vana (3370988),9,True,False,False,False,,
Viewed active,Vana (3370988),9,True,False,False,False,,
Password Change Completed,Vana (3370988),8,True,False,False,False,,
Password Change Submitted,Vana (3370988),8,True,False,False,False,,
Change User Phone Number Button Pressed,Vana (3370988),7,True,False,False,False,,
Viewed Onboarding 3,Vana (3370988),7,True,False,False,False,,
Create Account Instead Button Pressed,Vana (3370988),6,True,False,False,False,,
Edit Saved,Vana (3370988),6,True,False,False,False,,
Personal Income Submitted Failed,Vana (3370988),6,True,False,False,False,,
Send Document Failed,Vana (3370988),6,False,False,False,False,,
Card Activation Failed,Vana (3370988),5,True,False,False,False,,
Customer Unsubscribed,Vana (3370988),5,True,False,False,False,,
First Purchase Confirmed,Vana (3370988),5,True,False,False,False,,
Identity Verification Completed,Vana (3370988),5,False,False,False,False,,
Onboarding Completed,Vana (3370988),5,True,False,False,False,,
Password Change Modal Dismissed,Vana (3370988),5,True,False,False,False,,
Viewed Biometric Prompt Entry,Vana (3370988),5,True,False,False,False,,
Viewed Onboarding 4,Vana (3370988),5,True,False,False,False,,
Payment Method Update Failed,Vana (3370988),4,True,False,False,False,,
Rewards Referral Expectancy,Vana (3370988),4,True,False,False,False,,
Segment Upgrade Animation Displayed,Vana (3370988),3,False,False,False,False,,
Viewed Login Landing Telus,Vana (3370988),3,True,False,False,False,,
Biometric Activation Completed,Vana (3370988),2,True,False,False,False,,
Biometric Activation Started,Vana (3370988),2,True,False,False,False,,
Loan Offer Rejected,Vana (3370988),2,True,False,False,False,,
Problem Reported,Vana (3370988),2,True,False,False,False,,
$mp_page_leave,Vana (3370988),1,True,False,False,False,,Built-in Mixpanel event triggered when a user leaves a page
$mp_web_page_view,Vana (3370988),1,True,False,False,False,,Built-in Mixpanel event triggered when a desktop or mobile web page is loaded
Edit Cancelled,Vana (3370988),1,True,False,False,False,,
Incode Module Retry,Vana (3370988),1,True,False,False,False,,
Rate Later Button Pressed,Vana (3370988),1,True,False,False,False,,
$session_end,Vana (3370988),0,True,False,False,False,,"Mixpanel's virtual event triggered at the end of each user's session. Customize session timeout length, exclude events from sessions, or define event based sessions in project settings. [More about se"
$session_end,Vana Pay (3449788),0,True,False,False,False,,
$session_start,Vana (3370988),0,True,False,False,False,,"Mixpanel's virtual event triggered at the start of each user's session. Customize session timeout length, exclude events from sessions, or define event based sessions in project settings. [More about "
$session_start,Vana Pay (3449788),0,True,False,False,False,,
Checkout Completed,Vana Pay (3449788),0,True,False,False,False,,
Comunicaciones Customer IO,Vana (3370988),0,True,False,False,False,,
Detractors,Vana (3370988),0,True,False,False,False,,
Emai&Push&Inapp_Interaction,Vana (3370988),0,True,False,False,False,,
PIN Created/Authenticated,Vana Pay (3449788),0,True,False,False,False,,
Passive,Vana (3370988),0,True,False,False,False,,
Promoters,Vana (3370988),0,True,False,False,False,,
Venta Exitosa,Vana Pay (3449788),0,True,False,False,False,,
test,Vana (3370988),0,True,False,False,False,,
